Row,Col,Corr
93,Chloroflexi_SHD.231,Firmicutes_1.68,0.279607104
94,Actinobacteria_Slackia,Firmicutes_1.68,0.634061845
95,Spirochaetes_Sphaerochaeta,Firmicutes_1.68,-0.081443159
96,Firmicutes_Staphylococcus,Firmicutes_1.68,-0.137997089
97,Firmicutes_Streptococcus,Firmicutes_1.68,0.112453021
98,Proteobacteria_Sutterella,Firmicutes_1.68,-0.20793444
99,Synergistetes_TG5,Firmicutes_1.68,-0.032181581
100,Firmicutes_Turicibacter,Firmicutes_1.68,-0.175752825
101,Firmicutes_Veillonella,Firmicutes_1.68,0.317271679
102,Firmicutes_WAL_1855D,Firmicutes_1.68,0.342593658
103,Firmicutes_Abiotrophia,Bacteroidetes_5.7N15,-0.12925025
104,Firmicutes_Acidaminococcus,Bacteroidetes_5.7N15,0.64867702
105,Proteobacteria_Acinetobacter,Bacteroidetes_5.7N15,-0.059581808
106,Proteobacteria_Actinobacillus,Bacteroidetes_5.7N15,-0.118413519
107,Actinobacteria_Actinomyces,Bacteroidetes_5.7N15,-0.257639124
108,Actinobacteria_Adlercreutzia,Bacteroidetes_5.7N15,0.301992486
109,Proteobacteria_Aggregatibacter,Bacteroidetes_5.7N15,-0.176654176
110,Verrucomicrobia_Akkermansia,Bacteroidetes_5.7N15,0.012807333
111,Firmicutes_Anaerococcus,Bacteroidetes_5.7N15,-0.07132676
112,Firmicutes_Anaerofustis,Bacteroidetes_5.7N15,-0.041666667
113,Firmicutes_Anaerostipes,Bacteroidetes_5.7N15,-0.015555926
114,Firmicutes_Anaerotruncus,Bacteroidetes_5.7N15,0.377373829
115,Firmicutes_Anaerovorax,Bacteroidetes_5.7N15,-0.101477625
116,Actinobacteria_Atopobium,Bacteroidetes_5.7N15,-0.259914707
117,Proteobacteria_Azospira,Bacteroidetes_5.7N15,0.960625878
118,Bacteroidetes_Bacteroides,Bacteroidetes_5.7N15,0.143464265
119,Actinobacteria_Bifidobacterium,Bacteroidetes_5.7N15,0.342260922
120,Proteobacteria_Bilophila,Bacteroidetes_5.7N15,0.123308183
121,Firmicutes_Blautia,Bacteroidetes_5.7N15,0.117992735
122,Proteobacteria_Brevundimonas,Bacteroidetes_5.7N15,-0.041666667
123,Firmicutes_Bulleidia,Bacteroidetes_5.7N15,-0.136892701
124,Proteobacteria_Burkholderia,Bacteroidetes_5.7N15,-0.041666667
125,Bacteroidetes_Butyricimonas,Bacteroidetes_5.7N15,0.524886372
126,Firmicutes_Butyrivibrio,Bacteroidetes_5.7N15,-0.060162776
127,Proteobacteria_Campylobacter,Bacteroidetes_5.7N15,-0.213808881
128,Bacteroidetes_Capnocytophaga,Bacteroidetes_5.7N15,-0.055073413
129,Firmicutes_Catenibacterium,Bacteroidetes_5.7N15,-0.111459412
130,Firmicutes_cc_115,Bacteroidetes_5.7N15,-0.041666667
131,Bacteroidetes_CF231,Bacteroidetes_5.7N15,-0.041666667
132,Firmicutes_Christensenella,Bacteroidetes_5.7N15,-0.094571746
133,Firmicutes_Clostridium,Bacteroidetes_5.7N15,0.20896731
134,Actinobacteria_Collinsella,Bacteroidetes_5.7N15,0.195109823
135,Proteobacteria_Comamonas,Bacteroidetes_5.7N15,-0.041666667
136,Firmicutes_Coprobacillus,Bacteroidetes_5.7N15,-0.0791459
137,Firmicutes_Coprococcus,Bacteroidetes_5.7N15,0.275556951
138,Actinobacteria_Corynebacterium,Bacteroidetes_5.7N15,-0.014573404
