Combination,Firmicutes_1-68,Bacteroidetes_5-7N15,Firmicutes_Abiotrophia,Firmicutes_Acidaminococcus,Proteobacteria_Acinetobacter,Proteobacteria_Actinobacillus,Actinobacteria_Actinomyces,Actinobacteria_Adlercreutzia,Proteobacteria_Aggregatibacter,Verrucomicrobia_Akkermansia,Firmicutes_Anaerococcus,Firmicutes_Anaerofustis,Firmicutes_Anaerostipes,Firmicutes_Anaerotruncus,Firmicutes_Anaerovorax,Actinobacteria_Atopobium,Proteobacteria_Azospira,Bacteroidetes_Bacteroides,Actinobacteria_Bifidobacterium,Proteobacteria_Bilophila,Firmicutes_Blautia,Proteobacteria_Brevundimonas,Firmicutes_Bulleidia,Proteobacteria_Burkholderia,Bacteroidetes_Butyricimonas,Firmicutes_Butyrivibrio,Proteobacteria_Campylobacter,Bacteroidetes_Capnocytophaga,Firmicutes_Catenibacterium,Firmicutes_cc_115,Bacteroidetes_CF231,Firmicutes_Christensenella,Firmicutes_Clostridium,Actinobacteria_Collinsella,Proteobacteria_Comamonas,Firmicutes_Coprobacillus,Firmicutes_Coprococcus,Actinobacteria_Corynebacterium,Firmicutes_Dehalobacterium,Proteobacteria_Delftia,Actinobacteria_Dermatophilus,Proteobacteria_Desulfovibrio,Firmicutes_Dialister,Firmicutes_Dorea,Bacteroidetes_Dysgonomonas,Actinobacteria_Eggerthella,Proteobacteria_Eikenella,Proteobacteria_Enhydrobacter,Firmicutes_Enterococcus,Firmicutes_Epulopiscium,Firmicutes_Eubacterium,Firmicutes_Filifactor,Firmicutes_Finegoldia,Fusobacteria_Fusobacterium,Proteobacteria_Haemophilus,Proteobacteria_Helicobacter,Firmicutes_Holdemania,Proteobacteria_Kingella,Firmicutes_Lachnospira,Firmicutes_Lactobacillus,Firmicutes_Lactococcus,Proteobacteria_Lautropia,Fusobacteria_Leptotrichia,Firmicutes_Macrococcus,Firmicutes_Megamonas,Firmicutes_Megasphaera,Euryarchaeota_Methanobrevibacter,Firmicutes_Mitsuokella,Firmicutes_Mogibacterium,Firmicutes_Moryella,Proteobacteria_Neisseria,Bacteroidetes_Odoribacter,Firmicutes_Oscillospira,Proteobacteria_Oxalobacter,Bacteroidetes_Paraprevotella,Firmicutes_Parvimonas,Firmicutes_Peptoniphilus,Firmicutes_Peptostreptococcus,Firmicutes_Phascolarctobacterium,Bacteroidetes_Porphyromonas,Bacteroidetes_Prevotella,Actinobacteria_Propionicimonas,Proteobacteria_Proteus,Proteobacteria_Pseudomonas,Firmicutes_Pseudoramibacter,Synergistetes_Pyramidobacter,Firmicutes_Roseburia,Actinobacteria_Rothia,Firmicutes_Ruminococcus,Actinobacteria_Scardovia,Firmicutes_Schwartzia,Firmicutes_Sedimentibacter,Firmicutes_Selenomonas,Chloroflexi_SHD-231,Actinobacteria_Slackia,Spirochaetes_Sphaerochaeta,Firmicutes_Staphylococcus,Firmicutes_Streptococcus,Proteobacteria_Sutterella,Synergistetes_TG5,Firmicutes_Turicibacter,Firmicutes_Veillonella,Firmicutes_WAL_1855D
12,0,0,0,7.9995,0,0,5.7733,4.9184,0,2.2924,0,0,13.9726,3.8528,0,0,0,166.4939,20.5995,7.9231,53.3053,0,0,0,16.0395,0,10.0176,0,0,0,0,0,5.4557,1.5604,1.5604,1.5604,31.6505,0,1.5604,0,0,1.5604,11.7936,35.7072,0,4.9184,0,0,0,1.5604,1.5604,0,0,11.0664,3.8724,0,0,0,31.586,11.6399,0,0,0,0,2.2924,14.0698,0,0,0,0,0,7.8998,57.5176,4.3571,48.2444,5.745,0,3.4258,14.6734,0,7.2786,0,0,2.7757,0,7.1629,18.748,5.9587,64.7124,1.5604,0,0,1.5604,0,0,0,0,28.9219,20.2907,0,6.4063,31.2181,0
13,0,0,8.572,3.053,0,0,16.21,8.1954,4.5171,3.9633,0,3.053,0,0,2.2171,6.0595,0,125.8106,31.8011,10.117,60.9088,0,2.2171,0,7.3196,0,2.2171,0,0,0,0,5.3627,23.3548,17.9648,0,0,27.0279,8.9513,0,0,0,12.6876,13.1155,68.0343,0,9.1921,3.5788,0,3.053,0,14.5399,0,0,10.6589,11.311,0,0,0,22.9808,8.2299,0,0,0,0,3.053,12.4774,2.2171,0,0,0,0,0,44.3537,2.2171,39.9612,4.2666,0,3.5788,16.6081,2.2171,31.2902,0,0,2.2171,5.3627,0,8.3152,12.5491,58.7431,0,2.2171,0,8.8489,0,3.9633,0,3.053,46.159,15.8103,0,0,33.6136,0
14,0,0,13.069,0,0,7.9129,13.4113,0,4.7901,7.3895,0,0,2.9386,0,0,2.9386,0,97.2502,11.8814,3.8413,23.5426,0,0,6.454,2.9386,0,12.5344,0,4.3923,0,0,0,12.7106,4.3923,0,0,12.5437,2.9386,0,0,0,0,10.2695,37.287,0,0,12.85,0,15.718,0,0,0,0,17.5433,20.9646,0,0,0,8.6314,16.1467,0,12.417,10.6212,0,12.3548,0,2.9386,0,0,0,12.9644,0,23.5868,0,18.0073,0,0,3.8413,12.2777,0,50.1896,0,0,0,0,0,5.3576,12.1802,33.0144,8.3561,5.8772,0,0,4.3923,0,0,0,29.9086,13.3396,0,0,27.3353,0
15,0,6.2241,0,23.2479,0,0,0,5.472,0,6.8026,0,0,4.8679,4.8328,0,0,6.4195,152.9069,25.8752,7.9559,45.3671,0,0,0,26.5111,0,0,0,0,0,0,0,19.9242,10.848,0,0,28.9631,1.6641,10.6949,0,0,3.8089,12.1941,23.04,0,0,0,0,0,0,5.9979,0,0,3.5663,4.5725,1.6641,1.6641,0,11.7394,20.9979,0,0,0,0,17.0982,23.142,6.4195,0,0,0,0,11.147,48.4655,5.843,31.9317,1.6641,0,0,13.0433,0,52.5287,0,0,0,2.9084,1.6641,5.7874,1.6641,60.5334,0,0,0,0,0,0,3.5663,0,18.7719,32.8896,0,0,14.7454,0
16,0,0,0,17.7347,0,0,10.0714,1.8362,6.4108,4.8717,0,0,8.7406,0,1.8362,4.9931,1.8362,100.8273,23.9936,7.673,26.4663,0,0,0,2.6186,0,11.8505,0,0,0,0,1.8362,23.4016,9.549,0,0,18.0314,0,0,4.4307,0,13.4855,19.2477,38.5541,9.4141,3.7922,0,0,3.123,0,9.7589,0,0,7.5198,14.8708,0,3.123,0,28.7406,23.7184,3.123,0,9.4847,0,11.7523,33.8826,0,9.539,0,0,0,3.123,28.6725,0,17.056,0,0,0,9.0231,0,48.8947,0,6.5476,1.8362,0,4.9931,11.426,2.6186,43.1548,0,5.7416,0,12.513,0,1.8362,0,2.6186,33.7355,19.2833,0,2.6186,45.3589,0
17,0,0,0,0,0,0,9.4006,0,0,4.5529,0,0,12.0001,0,0,4.8624,0,125.6775,6.8846,2.7264,66.0696,0,2.7264,0,0,0,2.7264,0,0,0,0,0,4.1582,3.6131,0,0,26.2736,0,0,0,0,0,7.5888,35.2327,0,0,0,0,0,0,3.6131,0,0,3.6131,15.8842,0,0,0,0,16.8372,0,0,0,0,9.4153,2.7264,0,0,0,0,0,0,36.3552,0,2.7264,0,0,0,2.7264,2.7264,21.233,0,0,0,0,2.7264,13.631,2.7264,56.9257,0,0,0,2.7264,0,0,0,0,9.8705,15.477,0,0,22.7911,0
18,0,0,0,9.757,0,8.5767,2.1081,0,6.242,5.2259,0,0,6.6487,2.1081,0,4.3832,0,122.1426,4.7808,9.8938,18.7713,0,0,0,8.2866,0,5.461,2.1081,7.4563,0,0,0,15.1923,0,0,0,6.381,0,0,2.1081,0,0,10.2048,15.1278,0,0,5.3482,0,0,0,4.1339,0,0,18.976,22.8856,0,0,0,24.4133,16.6146,0,0,4.2162,0,0,5.2259,0,0,0,2.1081,2.1081,0,32.6837,0,29.1967,0,0,2.9303,18.5719,0,15.7459,0,0,0,0,7.2289,16.0903,2.1081,47.1972,0,0,0,16.644,0,2.1081,0,2.9303,38.2406,11.0029,12.2046,2.9303,46.662,0
19,0,0,0,2.5209,0,0,0,0,0,8.6911,0,0,0,0,0,0,0,200.7898,0,11.554,23.2416,0,0,0,0,0,2.5209,0,0,0,0,0,14.8473,0,0,3.9277,19.8234,0,0,0,0,10.9906,0,26.2373,0,4.6262,0,0,4.8795,3.3894,5.448,0,2.5209,12.41,2.5209,0,3.9277,0,0,0,0,0,0,0,10.235,0,0,0,0,0,0,12.303,42.3834,3.3894,52.5862,0,0,0,14.792,0,12.6576,0,0,0,3.9277,4.3188,2.5209,0,33.9327,0,0,0,0,0,0,0,0,11.3281,28.6097,0,6.7179,11.284,0
20,0,0,0,0,0,0,17.2889,0,2.419,0,2.419,0,0,0,0,3.2773,0,49.1218,2.419,0,0,0,0,0,0,3.2773,35.4899,16.7989,4.838,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1612,17.606,0,0,11.316,0,0,0,5.3266,0,0,24.1643,5.6096,0,0,0,2.419,25.4355,0,4.201,47.2687,0,5.6963,0,0,0,0,4.5071,8.2126,0,23.1581,0,0,0,0,0,5.6096,6.0491,98.6948,0,0,0,3.2773,4.201,3.2773,8.1516,25.5399,0,0,0,17.5008,0,0,0,0,49.2036,11.3367,3.2773,0,51.4759,0
21,0,0,0,0,0,0,31.1625,0,10.886,0,0,0,0,0,0,8.6014,0,64.9326,0,0,0,0,11.8907,0,0,0,15.8562,0,4.2493,0,0,0,3.3232,0,0,0,0,0,0,0,0,0,7.9322,0,0,0,11.372,0,3.3232,0,0,7.763,4.2493,20.332,19.768,0,0,8.4973,0,9.4602,0,0,0,0,0,0,0,0,0,6.0014,8.8749,0,18.8659,0,8.1319,6.0014,3.3232,10.206,4.8087,9.9696,56.567,0,0,0,0,0,3.3232,11.8562,21.9211,0,3.3232,0,15.4637,0,0,0,0,44.4039,19.6207,0,0,31.1194,3.3232
22,0,0,0,5.0607,0,0,2.2007,0,4.2468,0,0,0,7.2487,2.2007,0,0,0,148.0205,15.3228,8.0422,24.5493,0,0,0,17.3138,0,9.7437,0,0,0,0,0,9.8098,4.4014,0,0,3.5597,0,0,0,0,0,17.2102,6.1445,0,0,0,0,0,0,0,0,0,28.3972,17.0877,0,0,0,22.4796,2.2007,0,0,2.2007,0,13.8557,15.3955,0,0,0,0,2.2007,0,23.2394,0,42.2596,0,0,0,13.39,0,0,0,0,0,0,2.2007,11.248,4.4014,25.8181,0,0,0,8.3452,0,0,0,0,24.358,21.2803,0,4.8961,45.5995,0
23,0,0,0,0,0,0,0,0,0,10.725,0,0,3.0623,0,0,0,0,119.5257,12.1331,3.0623,14.4459,0,0,0,0,0,3.0623,0,0,0,0,0,7.1365,7.8388,0,0,3.0623,0,0,0,0,0,12.3443,11.7649,0,0,3.0623,0,3.0623,0,0,0,0,4.9266,8.4061,0,0,0,0,0,0,0,0,0,24.2978,16.4483,0,0,0,0,0,0,18.5505,0,20.5516,0,0,0,17.671,0,66.0745,0,0,0,0,0,0,0,22.9062,0,0,0,0,0,0,0,0,7.5895,12.34,0,0,43.3983,0
24,2.041,0,4.2995,0,0,7.7336,8.8998,0,27.4723,4.0511,0,0,12.6519,0,0,2.041,0,154.8348,3.371,6.2435,33.2903,0,0,0,4.8951,0,23.2677,0,11.9367,0,0,0,11.3685,9.8364,0,0,11.7601,7.8327,0,0,0,0,8.0502,23.9907,0,2.041,7.9671,0,2.8541,2.041,0,0,0,24.008,32.546,0,2.8541,5.5768,23.31,0,0,7.7336,32.66,0,3.371,3.7507,0,0,0,2.041,17.0806,7.601,41.7286,0,25.2349,0,0,2.041,10.749,8.783,46.3644,0,0,0,0,2.041,15.5171,7.3655,26.172,0,4.8951,0,26.3228,0,2.8541,0,0,28.126,11.595,2.8541,0,44.47,4.8598
25,0,0,0,0,0,4.5233,0,0,5.952,10.994,0,0,5.8711,2.1323,0,0,0,158.8153,19.8492,8.2312,31.4909,0,1.4287,0,24.6339,0,3.8616,0,0,0,0,2.6032,15.4678,4.1635,0,0,9.8822,0,0,0,0,0,4.0319,9.2236,0,0,0,0,0,0,1.4287,0,0,16.6088,10.865,0,2.9576,0,27.9429,0,0,1.4287,1.4287,0,1.4287,2.1323,0,0,0,0,4.908,8.8387,59.2123,6.4478,32.2775,0,0,0,14.404,0,36.4128,0,0,0,0,3.4793,11.099,0,31.5009,0,0,0,0,0,1.4287,0,0,12.6835,19.3392,0,0,40.1927,0
