Row,Col,Corr
93,Firmicutes_Streptococcus,Firmicutes_1.68,0.347417392
94,Firmicutes_Succiniclasticum,Firmicutes_1.68,-0.091355141
95,Proteobacteria_Sutterella,Firmicutes_1.68,0.133185264
96,Synergistetes_TG5,Firmicutes_1.68,-0.098218776
97,Firmicutes_Turicibacter,Firmicutes_1.68,-0.205049898
98,Firmicutes_Veillonella,Firmicutes_1.68,0.070439607
99,Firmicutes_WAL_1855D,Firmicutes_1.68,0.813594223
100,Firmicutes_Abiotrophia,Bacteroidetes_5.7N15,-0.100303752
101,Firmicutes_Acidaminococcus,Bacteroidetes_5.7N15,-0.152340577
102,Proteobacteria_Acinetobacter,Bacteroidetes_5.7N15,-0.065038183
103,Proteobacteria_Actinobacillus,Bacteroidetes_5.7N15,-0.095166975
104,Actinobacteria_Actinomyces,Bacteroidetes_5.7N15,-0.166976159
105,Actinobacteria_Adlercreutzia,Bacteroidetes_5.7N15,-0.091402904
106,Proteobacteria_Aggregatibacter,Bacteroidetes_5.7N15,-0.118680087
107,Verrucomicrobia_Akkermansia,Bacteroidetes_5.7N15,-0.177765533
108,Firmicutes_Anaerococcus,Bacteroidetes_5.7N15,-0.07371962
109,Firmicutes_Anaerofustis,Bacteroidetes_5.7N15,-0.089032795
110,Firmicutes_Anaerostipes,Bacteroidetes_5.7N15,0.089512775
111,Firmicutes_Anaerotruncus,Bacteroidetes_5.7N15,0.215496977
112,Firmicutes_Anaerovorax,Bacteroidetes_5.7N15,-0.061418559
113,Actinobacteria_Atopobium,Bacteroidetes_5.7N15,0.076230756
114,Bacteroidetes_Bacteroides,Bacteroidetes_5.7N15,0.232140633
115,Actinobacteria_Bifidobacterium,Bacteroidetes_5.7N15,-0.062175211
116,Proteobacteria_Bilophila,Bacteroidetes_5.7N15,0.181434945
117,Firmicutes_Blautia,Bacteroidetes_5.7N15,-0.245841025
118,Firmicutes_Bulleidia,Bacteroidetes_5.7N15,-0.105110284
119,Proteobacteria_Burkholderia,Bacteroidetes_5.7N15,-0.037037037
120,Bacteroidetes_Butyricimonas,Bacteroidetes_5.7N15,0.408201572
121,Proteobacteria_Campylobacter,Bacteroidetes_5.7N15,-0.1586907
122,Acidobacteria_CandidatusKoribacter,Bacteroidetes_5.7N15,-0.037037037
123,Bacteroidetes_Capnocytophaga,Bacteroidetes_5.7N15,-0.037037037
124,Firmicutes_Catenibacterium,Bacteroidetes_5.7N15,-0.058336511
125,Firmicutes_cc_115,Bacteroidetes_5.7N15,-0.065863194
126,Bacteroidetes_CF231,Bacteroidetes_5.7N15,-0.070460374
127,Firmicutes_Christensenella,Bacteroidetes_5.7N15,0.265221006
128,Firmicutes_Clostridium,Bacteroidetes_5.7N15,0.05786765
129,Actinobacteria_Collinsella,Bacteroidetes_5.7N15,0.080186112
130,Proteobacteria_Comamonas,Bacteroidetes_5.7N15,0.217711376
131,Firmicutes_Coprobacillus,Bacteroidetes_5.7N15,-0.069202284
132,Firmicutes_Coprococcus,Bacteroidetes_5.7N15,-0.035912888
133,Actinobacteria_Corynebacterium,Bacteroidetes_5.7N15,-0.000276288
134,Firmicutes_Dehalobacterium,Bacteroidetes_5.7N15,0.653617266
135,Proteobacteria_Delftia,Bacteroidetes_5.7N15,-0.037037037
136,Proteobacteria_Desulfovibrio,Bacteroidetes_5.7N15,0.295876673
137,Firmicutes_Dialister,Bacteroidetes_5.7N15,0.009399015
138,Firmicutes_Dorea,Bacteroidetes_5.7N15,-0.124937857
139,Bacteroidetes_Dysgonomonas,Bacteroidetes_5.7N15,-0.037037037
140,Actinobacteria_Eggerthella,Bacteroidetes_5.7N15,-0.232028525
141,Proteobacteria_Eikenella,Bacteroidetes_5.7N15,-0.073828098
142,Firmicutes_Enterococcus,Bacteroidetes_5.7N15,-0.172294515
143,Firmicutes_Epulopiscium,Bacteroidetes_5.7N15,0.209449933
144,Firmicutes_Eubacterium,Bacteroidetes_5.7N15,-0.078567315
145,Firmicutes_Finegoldia,Bacteroidetes_5.7N15,-0.083961496
146,Fusobacteria_Fusobacterium,Bacteroidetes_5.7N15,-0.12546844
147,Proteobacteria_Haemophilus,Bacteroidetes_5.7N15,0.001340708
148,Proteobacteria_Helicobacter,Bacteroidetes_5.7N15,-0.037037037
149,Firmicutes_Holdemania,Bacteroidetes_5.7N15,0.255716452
150,Proteobacteria_Kingella,Bacteroidetes_5.7N15,-0.037037037
151,Firmicutes_Lachnospira,Bacteroidetes_5.7N15,-0.072092903
152,Firmicutes_Lactobacillus,Bacteroidetes_5.7N15,-0.142027048
153,Firmicutes_Lactococcus,Bacteroidetes_5.7N15,-0.100025221
154,Proteobacteria_Lautropia,Bacteroidetes_5.7N15,-0.061997525
155,Fusobacteria_Leptotrichia,Bacteroidetes_5.7N15,-0.093358737
156,Firmicutes_Macrococcus,Bacteroidetes_5.7N15,-0.037037037
157,Firmicutes_Megamonas,Bacteroidetes_5.7N15,-0.11057203
158,Firmicutes_Megasphaera,Bacteroidetes_5.7N15,0.172035153
159,Euryarchaeota_Methanobrevibacter,Bacteroidetes_5.7N15,-0.074919974
160,Firmicutes_Mitsuokella,Bacteroidetes_5.7N15,-0.037037037
161,Firmicutes_Mogibacterium,Bacteroidetes_5.7N15,-0.081131161
162,Firmicutes_Moryella,Bacteroidetes_5.7N15,-0.089036573
163,Proteobacteria_Neisseria,Bacteroidetes_5.7N15,-0.125158393
164,Bacteroidetes_Odoribacter,Bacteroidetes_5.7N15,0.237201091
165,Firmicutes_Oscillospira,Bacteroidetes_5.7N15,0.430007167
166,Proteobacteria_Oxalobacter,Bacteroidetes_5.7N15,0.475099464
167,Bacteroidetes_Paraprevotella,Bacteroidetes_5.7N15,0.331679858
168,Firmicutes_Parvimonas,Bacteroidetes_5.7N15,-0.111515034
169,Firmicutes_Peptococcus,Bacteroidetes_5.7N15,-0.049975095
170,Firmicutes_Peptoniphilus,Bacteroidetes_5.7N15,-0.07635452
171,Firmicutes_Peptostreptococcus,Bacteroidetes_5.7N15,-0.142127626
172,Firmicutes_ph2,Bacteroidetes_5.7N15,-0.044611442
173,Firmicutes_Phascolarctobacterium,Bacteroidetes_5.7N15,0.205064172
174,Bacteroidetes_Porphyromonas,Bacteroidetes_5.7N15,-0.109003976
175,Bacteroidetes_Prevotella,Bacteroidetes_5.7N15,0.186560167
176,Proteobacteria_Proteus,Bacteroidetes_5.7N15,0.112087704
177,Proteobacteria_Pseudomonas,Bacteroidetes_5.7N15,0.443033918
178,Firmicutes_Pseudoramibacter,Bacteroidetes_5.7N15,-0.114554778
179,Synergistetes_Pyramidobacter,Bacteroidetes_5.7N15,-0.118599561
180,Firmicutes_rc4.4,Bacteroidetes_5.7N15,-0.052404481
181,Proteobacteria_Rhodoplanes,Bacteroidetes_5.7N15,-0.037037037
182,Firmicutes_Roseburia,Bacteroidetes_5.7N15,-0.053220685
183,Actinobacteria_Rothia,Bacteroidetes_5.7N15,-0.130361543
184,Firmicutes_Ruminococcus,Bacteroidetes_5.7N15,0.084715679
185,Actinobacteria_Scardovia,Bacteroidetes_5.7N15,-0.070413388
186,Firmicutes_Schwartzia,Bacteroidetes_5.7N15,-0.104100693
187,Firmicutes_Selenomonas,Bacteroidetes_5.7N15,-0.051960674
188,Actinobacteria_Slackia,Bacteroidetes_5.7N15,-0.112231473
189,Spirochaetes_Sphaerochaeta,Bacteroidetes_5.7N15,-0.037037037
190,Firmicutes_Staphylococcus,Bacteroidetes_5.7N15,-0.050691086
191,Firmicutes_Streptococcus,Bacteroidetes_5.7N15,-0.239852895
192,Firmicutes_Succiniclasticum,Bacteroidetes_5.7N15,-0.037037037
193,Proteobacteria_Sutterella,Bacteroidetes_5.7N15,0.14243051
194,Synergistetes_TG5,Bacteroidetes_5.7N15,-0.106600767
195,Firmicutes_Turicibacter,Bacteroidetes_5.7N15,0.273973139
196,Firmicutes_Veillonella,Bacteroidetes_5.7N15,-0.103222117
197,Firmicutes_WAL_1855D,Bacteroidetes_5.7N15,-0.099369023
198,Firmicutes_Acidaminococcus,Firmicutes_Abiotrophia,0.042348624
199,Proteobacteria_Acinetobacter,Firmicutes_Abiotrophia,-0.019732116
200,Proteobacteria_Actinobacillus,Firmicutes_Abiotrophia,-0.161722688
201,Actinobacteria_Actinomyces,Firmicutes_Abiotrophia,0.5278494
202,Actinobacteria_Adlercreutzia,Firmicutes_Abiotrophia,-0.403948294
203,Proteobacteria_Aggregatibacter,Firmicutes_Abiotrophia,-0.123944565
204,Verrucomicrobia_Akkermansia,Firmicutes_Abiotrophia,0.124561061
205,Firmicutes_Anaerococcus,Firmicutes_Abiotrophia,0.315453835
206,Firmicutes_Anaerofustis,Firmicutes_Abiotrophia,0.641914895
207,Firmicutes_Anaerostipes,Firmicutes_Abiotrophia,-0.324293053
208,Firmicutes_Anaerotruncus,Firmicutes_Abiotrophia,0.177735066
209,Firmicutes_Anaerovorax,Firmicutes_Abiotrophia,0.563557453
210,Actinobacteria_Atopobium,Firmicutes_Abiotrophia,0.595131317
211,Bacteroidetes_Bacteroides,Firmicutes_Abiotrophia,-0.145826307
212,Actinobacteria_Bifidobacterium,Firmicutes_Abiotrophia,0.163558944
213,Proteobacteria_Bilophila,Firmicutes_Abiotrophia,0.0662307
214,Firmicutes_Blautia,Firmicutes_Abiotrophia,-0.039929555
215,Firmicutes_Bulleidia,Firmicutes_Abiotrophia,0.242237341
216,Proteobacteria_Burkholderia,Firmicutes_Abiotrophia,-0.100303752
217,Bacteroidetes_Butyricimonas,Firmicutes_Abiotrophia,0.031902407
218,Proteobacteria_Campylobacter,Firmicutes_Abiotrophia,0.089418261
219,Acidobacteria_CandidatusKoribacter,Firmicutes_Abiotrophia,-0.100303752
220,Bacteroidetes_Capnocytophaga,Firmicutes_Abiotrophia,-0.100303752
221,Firmicutes_Catenibacterium,Firmicutes_Abiotrophia,-0.079820991
222,Firmicutes_cc_115,Firmicutes_Abiotrophia,-0.048551588
223,Bacteroidetes_CF231,Firmicutes_Abiotrophia,-0.002036717
224,Firmicutes_Christensenella,Firmicutes_Abiotrophia,0.351261779
225,Firmicutes_Clostridium,Firmicutes_Abiotrophia,0.0047933
226,Actinobacteria_Collinsella,Firmicutes_Abiotrophia,0.210382123
227,Proteobacteria_Comamonas,Firmicutes_Abiotrophia,-0.049430422
