Class,c_Bacteroidia,c_Clostridia,c_Bacilli,c_Erysipelotrichi,c_Alphaproteobacteria,c_Betaproteobacteria,c_Gammaproteobacteria,c_Deltaproteobacteria,c_Actinobacteria,c_Coriobacteriia,c_Fusobacteriia,c_Verrucomicrobiae
ZR9_13,35.75831442,60.70718108,0.067243843,0.044829229,0,0.514135216,0.930206495,1.147348071,0.595388193,0.131685859,0.028018268,0.061640189
ZR9_14,68.67766431,24.84681854,0.041895784,0.014401676,0.00392773,3.373919874,0.809112333,1.420528934,0.128305839,0.332547787,0.001309243,0.326001571
ZR9_15,70.00375987,27.36433137,0.017546058,0.011279609,0,1.239503697,0.521368593,0.451184359,0.314575761,0.017546058,0.045118436,0
ZR9_16,61.64560168,34.56845546,0.262449064,0.040288234,0,0.962313235,1.642608836,0.192232429,0.014964201,0.033381679,0.001151092,0.002302185
ZR9_17,70.70189975,23.59787734,0.565189087,0.007890947,0,2.786490699,1.734035628,0.460634038,0.058195735,0.010850052,0.000986368,0.002959105
ZR9_18,40.47433505,47.96669606,0.011279044,0.012304411,0,0.686996288,6.637204438,4.093267436,0.001025368,0.097409921,0.003076103,0.00410147
ZR9_19,59.13454584,36.46716903,0.00920556,0.02432898,0,1.818755671,0.140056022,0.139398482,0.0065754,0.127562762,2.108730816,0.00394524
ZR9_2,57.88208626,41.08416548,0.021495711,0.041037266,0,0.252086061,0.132882575,0.127020108,0,0.43968499,0,0.013679089
ZR9_20,44.78528453,53.43110566,0.13852611,0.021364723,0.002756739,0.024121462,1.272924004,0.000689185,0.015162062,0.017229616,0.024121462,0.227430926
ZR9_21,76.38800379,9.790858004,0.0540718,0.070486453,0.697139988,0.332155341,0.252013209,0.077245428,0.004827839,0.006758975,0.003862271,12.29457544
ZR9_3,71.7618915,24.29257263,0.028673953,0.079467811,0,1.126476709,0.39488129,0.945421179,0.003277023,0.054070882,0.072094509,1.197751962
ZR9_4,54.65715337,36.02445108,0.063376538,0.014310831,0.006133213,0.999713783,5.239808644,2.287688596,0.312793883,0.335282332,0.002044404,0.032710471
ZR9_5,67.38856423,19.72613728,0.035808411,0.04010542,0.002864673,0.08021084,1.774664833,0.366678125,0.004297009,0.002864673,10.44173255,0.10026355
ZR9_6,71.03555256,8.84194678,0.542926557,0.010265418,0.001140602,11.7459195,6.641725503,0.00570301,0.00570301,0.002281204,1.121211776,0.01140602
ZR9_7,68.08854419,28.68799483,0.063284322,0.043087198,0.001346475,0.211396564,0.114450369,0.327193408,0.001346475,0.0053859,0.0053859,2.441159046
ZR9_8,42.48522583,34.79210637,0.009497678,0.017940059,0,0.261713803,13.7726889,0,0.002110595,0.001055298,8.621781342,0.012663571
ZR9_9,59.37856033,35.77421025,0.018988434,0.062143967,0.001726221,2.433972035,1.1669256,0.236492318,0.359054031,0.098394614,0.440186432,0.02589332
