No,Healthy,HBVI,CHB,LC
116,OTU_1208,OTU_50,OTU_3,OTU_104
117,OTU_302,OTU_41,OTU_104,OTU_98
118,OTU_86,OTU_29,OTU_98,OTU_63
119,OTU_160,OTU_9,OTU_63,OTU_60
120,OTU_101,OTU_1208,OTU_60,OTU_308
121,OTU_73,OTU_302,OTU_308,OTU_53
122,OTU_1156,OTU_86,OTU_53,OTU_50
123,OTU_290,OTU_160,OTU_50,OTU_41
124,OTU_52,OTU_101,OTU_41,OTU_29
125,OTU_64,OTU_73,OTU_29,OTU_9
126,OTU_107,OTU_1156,OTU_9,OTU_1208
127,OTU_444,OTU_290,OTU_1208,OTU_302
128,OTU_443,OTU_52,OTU_302,OTU_86
129,OTU_930,OTU_64,OTU_86,OTU_160
130,OTU_32,OTU_107,OTU_160,OTU_101
131,OTU_120,OTU_444,OTU_101,OTU_73
132,OTU_182,OTU_443,OTU_73,OTU_1156
133,OTU_1073,OTU_930,OTU_1156,OTU_290
134,OTU_187,OTU_32,OTU_290,OTU_52
135,OTU_114,OTU_120,OTU_52,OTU_64
136,OTU_171,OTU_182,OTU_64,OTU_107
137,OTU_244,OTU_1073,OTU_107,OTU_444
138,OTU_198,OTU_187,OTU_444,OTU_443
139,OTU_57,OTU_114,OTU_443,OTU_930
140,OTU_662,OTU_171,OTU_930,OTU_32
141,OTU_115,OTU_244,OTU_32,OTU_120
142,OTU_1169,OTU_198,OTU_120,OTU_182
143,OTU_81,OTU_57,OTU_182,OTU_1073
144,OTU_972,OTU_662,OTU_1073,OTU_187
145,OTU_31,OTU_115,OTU_187,OTU_114
146,OTU_1103,OTU_1169,OTU_114,OTU_171
147,OTU_237,OTU_81,OTU_171,OTU_244
148,OTU_45,OTU_972,OTU_244,OTU_198
149,OTU_25,OTU_31,OTU_198,OTU_57
150,OTU_5,OTU_1103,OTU_57,OTU_662
151,OTU_70,OTU_237,OTU_662,OTU_115
152,OTU_83,OTU_45,OTU_115,OTU_1169
153,OTU_461,OTU_25,OTU_1169,OTU_81
154,OTU_594,OTU_5,OTU_81,OTU_972
155,OTU_177,OTU_204,OTU_972,OTU_31
156,OTU_961,OTU_70,OTU_31,OTU_1103
157,OTU_133,OTU_83,OTU_1103,OTU_237
158,OTU_123,OTU_461,OTU_237,OTU_45
159,OTU_195,OTU_594,OTU_45,OTU_25
160,OTU_284,OTU_177,OTU_25,OTU_5
161,OTU_487,OTU_961,OTU_5,OTU_204
162,OTU_386,OTU_717,OTU_204,OTU_70
163,OTU_93,OTU_133,OTU_70,OTU_83
164,OTU_926,OTU_123,OTU_83,OTU_461
165,OTU_334,OTU_195,OTU_461,OTU_594
166,OTU_1222,OTU_284,OTU_594,OTU_177
167,OTU_641,OTU_487,OTU_177,OTU_961
168,OTU_366,OTU_386,OTU_961,OTU_717
169,OTU_167,OTU_93,OTU_717,OTU_133
170,OTU_1212,OTU_926,OTU_133,OTU_123
171,OTU_861,OTU_334,OTU_123,OTU_195
172,OTU_424,OTU_1222,OTU_195,OTU_284
173,OTU_209,OTU_641,OTU_284,OTU_487
174,OTU_745,OTU_366,OTU_487,OTU_386
175,OTU_332,OTU_167,OTU_386,OTU_93
176,OTU_158,OTU_1212,OTU_93,OTU_926
177,OTU_67,OTU_861,OTU_926,OTU_334
178,OTU_246,OTU_424,OTU_334,OTU_1222
179,OTU_1228,OTU_209,OTU_1222,OTU_641
180,OTU_146,OTU_660,OTU_641,OTU_366
181,OTU_110,OTU_745,OTU_366,OTU_167
182,OTU_19,OTU_332,OTU_167,OTU_1212
183,OTU_54,OTU_158,OTU_1212,OTU_861
184,OTU_285,OTU_67,OTU_861,OTU_424
185,OTU_776,OTU_246,OTU_424,OTU_209
186,OTU_1011,OTU_1228,OTU_209,OTU_745
187,OTU_124,OTU_146,OTU_660,OTU_332
188,OTU_105,OTU_110,OTU_745,OTU_158
189,OTU_122,OTU_19,OTU_332,OTU_67
190,OTU_72,OTU_54,OTU_158,OTU_246
191,OTU_416,OTU_285,OTU_67,OTU_1228
192,OTU_23,OTU_1011,OTU_246,OTU_146
193,OTU_469,OTU_124,OTU_1228,OTU_110
194,OTU_341,OTU_105,OTU_146,OTU_19
195,OTU_456,OTU_706,OTU_110,OTU_54
196,OTU_429,OTU_122,OTU_19,OTU_285
197,OTU_570,OTU_72,OTU_54,OTU_776
198,OTU_312,OTU_416,OTU_285,OTU_1011
199,OTU_820,OTU_23,OTU_776,OTU_124
200,OTU_77,OTU_469,OTU_1011,OTU_105
201,OTU_16,OTU_341,OTU_124,OTU_706
202,OTU_1105,OTU_456,OTU_105,OTU_122
203,OTU_677,OTU_429,OTU_706,OTU_72
204,OTU_157,OTU_570,OTU_122,OTU_416
205,OTU_1202,OTU_903,OTU_72,OTU_23
206,OTU_496,OTU_312,OTU_416,OTU_469
207,OTU_426,OTU_1184,OTU_23,OTU_250
208,OTU_1012,OTU_820,OTU_469,OTU_659
209,OTU_409,OTU_77,OTU_250,OTU_341
210,OTU_806,OTU_16,OTU_659,OTU_456
211,OTU_450,OTU_1105,OTU_341,OTU_429
212,OTU_42,OTU_677,OTU_456,OTU_570
213,OTU_48,OTU_157,OTU_429,OTU_903
214,OTU_22,OTU_1202,OTU_570,OTU_312
215,OTU_66,OTU_496,OTU_903,OTU_1184
216,OTU_163,OTU_426,OTU_312,OTU_835
217,OTU_181,OTU_409,OTU_1184,OTU_820
218,OTU_657,OTU_247,OTU_835,OTU_77
219,OTU_111,OTU_450,OTU_820,OTU_16
220,OTU_62,OTU_42,OTU_77,OTU_1105
221,OTU_166,OTU_48,OTU_16,OTU_677
222,OTU_383,OTU_22,OTU_1105,OTU_157
223,OTU_1101,OTU_66,OTU_677,OTU_1202
224,OTU_43,OTU_163,OTU_157,OTU_496
225,OTU_55,OTU_181,OTU_1202,OTU_426
226,OTU_26,OTU_657,OTU_496,OTU_1012
227,OTU_347,OTU_111,OTU_426,OTU_409
228,OTU_99,OTU_62,OTU_1012,OTU_806
229,OTU_87,OTU_166,OTU_409,OTU_450
230,OTU_635,OTU_383,OTU_247,OTU_42
231,OTU_326,OTU_393,OTU_806,OTU_48
232,OTU_174,OTU_1101,OTU_450,OTU_22
233,OTU_78,OTU_43,OTU_42,OTU_66
234,OTU_178,OTU_55,OTU_48,OTU_163
235,OTU_612,OTU_26,OTU_22,OTU_657
236,OTU_513,OTU_347,OTU_66,OTU_111
237,OTU_245,OTU_99,OTU_163,OTU_62
238,OTU_634,OTU_87,OTU_181,OTU_166
239,OTU_231,OTU_635,OTU_657,OTU_383
240,OTU_296,OTU_326,OTU_111,OTU_393
241,OTU_165,OTU_174,OTU_62,OTU_1101
242,OTU_212,OTU_78,OTU_166,OTU_43
243,OTU_141,OTU_178,OTU_383,OTU_55
244,OTU_186,OTU_612,OTU_393,OTU_26
245,OTU_405,OTU_513,OTU_1101,OTU_347
246,OTU_185,OTU_245,OTU_43,OTU_99
247,OTU_94,OTU_634,OTU_55,OTU_87
248,OTU_910,OTU_231,OTU_26,OTU_635
249,OTU_350,OTU_165,OTU_347,OTU_326
250,OTU_325,OTU_212,OTU_99,OTU_174
251,OTU_262,OTU_141,OTU_87,OTU_78
252,OTU_173,OTU_186,OTU_635,OTU_178
253,OTU_1002,OTU_405,OTU_326,OTU_612
254,OTU_142,OTU_185,OTU_174,OTU_634
255,OTU_143,OTU_94,OTU_78,OTU_231
256,OTU_339,OTU_910,OTU_178,OTU_165
257,OTU_119,OTU_350,OTU_612,OTU_212
258,OTU_623,OTU_325,OTU_513,OTU_141
259,OTU_39,OTU_262,OTU_664,OTU_186
260,OTU_511,OTU_173,OTU_245,OTU_405
261,OTU_694,OTU_1002,OTU_634,OTU_185
262,OTU_1018,OTU_142,OTU_231,OTU_94
263,OTU_789,OTU_143,OTU_296,OTU_910
264,OTU_168,OTU_339,OTU_165,OTU_350
265,OTU_287,OTU_119,OTU_212,OTU_325
266,OTU_604,OTU_623,OTU_141,OTU_262
267,OTU_369,OTU_39,OTU_186,OTU_173
268,OTU_188,OTU_511,OTU_405,OTU_1002
269,OTU_843,OTU_694,OTU_185,OTU_142
270,OTU_192,OTU_1018,OTU_94,OTU_143
271,OTU_622,OTU_789,OTU_910,OTU_339
272,OTU_84,OTU_168,OTU_350,OTU_119
273,OTU_620,OTU_287,OTU_325,OTU_623
274,OTU_1092,OTU_604,OTU_262,OTU_39
275,OTU_1004,OTU_369,OTU_173,OTU_511
276,OTU_515,OTU_188,OTU_1002,OTU_694
277,OTU_572,OTU_843,OTU_142,OTU_1018
278,OTU_294,OTU_192,OTU_143,OTU_789
279,OTU_240,OTU_622,OTU_339,OTU_168
280,OTU_971,OTU_84,OTU_119,OTU_287
281,OTU_715,OTU_1049,OTU_623,OTU_369
282,OTU_787,OTU_620,OTU_39,OTU_188
283,OTU_528,OTU_1092,OTU_511,OTU_843
284,OTU_1223,OTU_1004,OTU_694,OTU_192
285,OTU_747,OTU_233,OTU_1018,OTU_622
286,OTU_65,OTU_515,OTU_789,OTU_84
287,OTU_132,OTU_572,OTU_168,OTU_1004
288,OTU_714,OTU_294,OTU_287,OTU_233
289,OTU_298,OTU_240,OTU_604,OTU_572
290,OTU_401,OTU_971,OTU_369,OTU_294
291,OTU_763,OTU_715,OTU_188,OTU_240
292,OTU_417,OTU_528,OTU_843,OTU_971
293,OTU_522,OTU_1223,OTU_1104,OTU_715
294,OTU_267,OTU_747,OTU_192,OTU_528
295,OTU_980,OTU_65,OTU_622,OTU_747
296,OTU_338,OTU_132,OTU_84,OTU_65
297,OTU_197,OTU_714,OTU_1049,OTU_132
298,OTU_597,OTU_298,OTU_836,OTU_298
299,OTU_206,OTU_401,OTU_1171,OTU_763
300,OTU_609,OTU_763,OTU_620,OTU_417
301,OTU_109,OTU_417,OTU_1092,OTU_522
302,OTU_91,OTU_431,OTU_1004,OTU_267
303,OTU_606,OTU_522,OTU_233,OTU_980
304,OTU_241,OTU_267,OTU_515,OTU_338
305,OTU_595,OTU_980,OTU_572,OTU_197
306,OTU_172,OTU_338,OTU_294,OTU_597
307,OTU_148,OTU_197,OTU_240,OTU_206
308,OTU_303,OTU_597,OTU_1100,OTU_609
309,OTU_524,OTU_206,OTU_971,OTU_109
310,OTU_753,OTU_609,OTU_715,OTU_91
311,OTU_437,OTU_109,OTU_787,OTU_606
312,OTU_389,OTU_91,OTU_528,OTU_644
313,OTU_825,OTU_606,OTU_1223,OTU_241
314,OTU_248,OTU_644,OTU_747,OTU_595
315,OTU_1057,OTU_241,OTU_65,OTU_172
316,OTU_253,OTU_595,OTU_132,OTU_148
317,OTU_851,OTU_172,OTU_714,OTU_303
318,OTU_490,OTU_148,OTU_298,OTU_524
319,OTU_517,OTU_303,OTU_401,OTU_753
320,OTU_268,OTU_524,OTU_763,OTU_437
321,OTU_742,OTU_753,OTU_417,OTU_389
322,OTU_621,OTU_437,OTU_431,OTU_825
323,OTU_453,OTU_389,OTU_522,OTU_248
324,OTU_489,OTU_825,OTU_267,OTU_1057
325,OTU_203,OTU_248,OTU_980,OTU_253
326,OTU_336,OTU_1057,OTU_338,OTU_851
327,OTU_352,OTU_253,OTU_197,OTU_490
328,OTU_169,OTU_851,OTU_597,OTU_517
329,OTU_1025,OTU_490,OTU_206,OTU_268
330,OTU_403,OTU_517,OTU_609,OTU_621
331,OTU_100,OTU_268,OTU_109,OTU_453
332,OTU_1106,OTU_742,OTU_91,OTU_489
333,OTU_468,OTU_621,OTU_606,OTU_203
334,OTU_1065,OTU_453,OTU_644,OTU_336
335,OTU_552,OTU_489,OTU_241,OTU_352
336,OTU_88,OTU_958,OTU_595,OTU_169
337,OTU_957,OTU_203,OTU_172,OTU_1025
338,OTU_317,OTU_336,OTU_148,OTU_403
339,OTU_460,OTU_352,OTU_303,OTU_100
340,OTU_432,OTU_169,OTU_524,OTU_1106
341,OTU_439,OTU_403,OTU_1213,OTU_468
342,OTU_118,OTU_100,OTU_753,OTU_552
343,OTU_758,OTU_1106,OTU_437,OTU_88
344,OTU_702,OTU_468,OTU_389,OTU_957
345,OTU_567,OTU_1065,OTU_825,OTU_317
346,OTU_687,OTU_552,OTU_248,OTU_460
347,OTU_596,OTU_88,OTU_1057,OTU_432
348,OTU_544,OTU_957,OTU_253,OTU_439
349,OTU_712,OTU_317,OTU_851,OTU_118
350,OTU_538,OTU_460,OTU_490,OTU_280
351,OTU_179,OTU_432,OTU_517,OTU_687
352,OTU_683,OTU_439,OTU_268,OTU_596
353,OTU_1180,OTU_758,OTU_742,OTU_544
354,OTU_342,OTU_702,OTU_621,OTU_538
355,OTU_38,OTU_280,OTU_453,OTU_179
356,OTU_464,OTU_567,OTU_489,OTU_1180
357,OTU_531,OTU_687,OTU_958,OTU_467
358,OTU_458,OTU_596,OTU_203,OTU_342
359,OTU_210,OTU_544,OTU_336,OTU_38
360,OTU_316,OTU_712,OTU_833,OTU_464
361,OTU_548,OTU_538,OTU_352,OTU_531
362,OTU_211,OTU_179,OTU_169,OTU_458
363,OTU_291,OTU_683,OTU_1025,OTU_210
364,OTU_701,OTU_1180,OTU_403,OTU_316
365,OTU_293,OTU_467,OTU_100,OTU_548
366,OTU_92,OTU_342,OTU_1106,OTU_211
367,OTU_947,OTU_38,OTU_468,OTU_348
368,OTU_154,OTU_464,OTU_1065,OTU_701
369,OTU_462,OTU_531,OTU_552,OTU_939
370,OTU_743,OTU_458,OTU_88,OTU_293
371,OTU_292,OTU_210,OTU_957,OTU_92
372,OTU_488,OTU_316,OTU_1130,OTU_947
373,OTU_721,OTU_548,OTU_317,OTU_154
374,OTU_762,OTU_834,OTU_460,OTU_462
375,OTU_580,OTU_211,OTU_432,OTU_743
376,OTU_108,OTU_291,OTU_439,OTU_292
377,OTU_1119,OTU_348,OTU_118,OTU_488
378,OTU_878,OTU_701,OTU_758,OTU_721
379,OTU_607,OTU_293,OTU_702,OTU_762
380,OTU_130,OTU_92,OTU_280,OTU_580
381,OTU_466,OTU_947,OTU_567,OTU_108
382,OTU_1198,OTU_154,OTU_687,OTU_1119
383,OTU_324,OTU_462,OTU_596,OTU_881
384,OTU_759,OTU_743,OTU_544,OTU_878
385,OTU_134,OTU_292,OTU_712,OTU_419
386,OTU_653,OTU_488,OTU_538,OTU_607
387,OTU_97,OTU_721,OTU_179,OTU_807
388,OTU_320,OTU_762,OTU_683,OTU_1124
389,OTU_618,OTU_580,OTU_1180,OTU_130
390,OTU_560,OTU_108,OTU_467,OTU_466
391,OTU_539,OTU_1119,OTU_342,OTU_1198
392,OTU_679,OTU_881,OTU_38,OTU_324
393,OTU_818,OTU_878,OTU_464,OTU_435
394,OTU_1035,OTU_419,OTU_531,OTU_759
395,OTU_610,OTU_607,OTU_458,OTU_1148
396,OTU_845,OTU_1124,OTU_210,OTU_134
397,OTU_243,OTU_130,OTU_316,OTU_653
398,OTU_199,OTU_466,OTU_548,OTU_97
399,OTU_261,OTU_1198,OTU_834,OTU_320
400,OTU_418,OTU_324,OTU_211,OTU_593
401,OTU_558,OTU_134,OTU_291,OTU_648
402,OTU_455,OTU_653,OTU_1067,OTU_618
403,OTU_164,OTU_97,OTU_348,OTU_650
404,OTU_252,OTU_320,OTU_701,OTU_1078
405,OTU_693,OTU_618,OTU_939,OTU_874
406,OTU_893,OTU_560,OTU_293,OTU_619
407,OTU_228,OTU_839,OTU_92,OTU_560
408,OTU_871,OTU_539,OTU_947,OTU_351
409,OTU_428,OTU_966,OTU_154,OTU_839
410,OTU_116,OTU_680,OTU_462,OTU_539
411,OTU_277,OTU_1194,OTU_743,OTU_966
412,OTU_530,OTU_808,OTU_292,OTU_949
413,OTU_407,OTU_1035,OTU_488,OTU_679
414,OTU_532,OTU_696,OTU_721,OTU_680
415,OTU_356,OTU_803,OTU_762,OTU_1194
416,OTU_579,OTU_297,OTU_580,OTU_808
417,OTU_411,OTU_983,OTU_108,OTU_818
418,OTU_1050,OTU_610,OTU_1119,OTU_646
419,OTU_503,OTU_697,OTU_881,OTU_631
420,OTU_125,OTU_845,OTU_878,OTU_1048
421,OTU_283,OTU_243,OTU_419,OTU_1035
422,OTU_251,OTU_521,OTU_607,OTU_696
423,OTU_637,OTU_418,OTU_1124,OTU_803
424,OTU_1023,OTU_216,OTU_130,OTU_297
425,OTU_492,OTU_558,OTU_466,OTU_983
426,OTU_629,OTU_455,OTU_1198,OTU_275
427,OTU_649,OTU_164,OTU_324,OTU_569
428,OTU_269,OTU_252,OTU_435,OTU_610
429,OTU_391,OTU_249,OTU_759,OTU_234
430,OTU_777,OTU_693,OTU_134,OTU_628
431,OTU_819,OTU_616,OTU_653,OTU_697
432,OTU_483,OTU_722,OTU_97,OTU_845
433,OTU_235,OTU_228,OTU_320,OTU_243
434,OTU_305,OTU_871,OTU_618,OTU_199
435,OTU_448,OTU_428,OTU_650,OTU_261
436,OTU_51,OTU_116,OTU_619,OTU_1136
437,OTU_149,OTU_277,OTU_560,OTU_1175
438,OTU_943,OTU_530,OTU_351,OTU_1059
439,OTU_520,OTU_407,OTU_839,OTU_521
440,OTU_427,OTU_446,OTU_539,OTU_784
441,OTU_183,OTU_532,OTU_966,OTU_670
442,OTU_202,OTU_356,OTU_679,OTU_545
443,OTU_274,OTU_579,OTU_680,OTU_418
444,OTU_1064,OTU_411,OTU_1194,OTU_216
445,OTU_273,OTU_1050,OTU_808,OTU_558
446,OTU_890,OTU_503,OTU_646,OTU_455
447,OTU_218,OTU_125,OTU_631,OTU_288
448,OTU_278,OTU_283,OTU_1035,OTU_856
449,OTU_617,OTU_251,OTU_696,OTU_590
450,OTU_318,OTU_637,OTU_803,OTU_948
451,OTU_498,OTU_1023,OTU_297,OTU_164
452,OTU_1029,OTU_492,OTU_983,OTU_252
453,OTU_1054,OTU_629,OTU_275,OTU_249
454,OTU_368,OTU_600,OTU_569,OTU_693
455,OTU_90,OTU_649,OTU_610,OTU_1188
456,OTU_301,OTU_269,OTU_234,OTU_896
457,OTU_663,OTU_823,OTU_697,OTU_893
458,OTU_854,OTU_581,OTU_845,OTU_616
459,OTU_374,OTU_391,OTU_243,OTU_1033
460,OTU_655,OTU_777,OTU_199,OTU_722
461,OTU_1132,OTU_819,OTU_261,OTU_228
462,OTU_314,OTU_658,OTU_1136,OTU_871
463,OTU_501,OTU_483,OTU_521,OTU_428
464,OTU_675,OTU_1229,OTU_784,OTU_116
465,OTU_1204,OTU_235,OTU_418,OTU_530
466,OTU_327,OTU_305,OTU_216,OTU_407
467,OTU_420,OTU_448,OTU_558,OTU_356
468,OTU_669,OTU_51,OTU_455,OTU_411
469,OTU_978,OTU_149,OTU_164,OTU_1050
470,OTU_598,OTU_943,OTU_252,OTU_503
471,OTU_533,OTU_520,OTU_249,OTU_125
472,OTU_630,OTU_427,OTU_693,OTU_283
473,OTU_591,OTU_183,OTU_893,OTU_251
474,OTU_965,OTU_202,OTU_616,OTU_637
475,OTU_603,OTU_274,OTU_1033,OTU_492
476,OTU_102,OTU_433,OTU_722,OTU_629
477,OTU_406,OTU_1064,OTU_228,OTU_600
478,OTU_422,OTU_273,OTU_871,OTU_649
479,OTU_138,OTU_890,OTU_428,OTU_269
480,OTU_307,OTU_218,OTU_116,OTU_823
481,OTU_1116,OTU_278,OTU_530,OTU_581
482,OTU_131,OTU_318,OTU_407,OTU_391
483,OTU_220,OTU_498,OTU_446,OTU_777
484,OTU_421,OTU_1029,OTU_532,OTU_819
485,OTU_151,OTU_1054,OTU_356,OTU_658
486,OTU_685,OTU_368,OTU_579,OTU_483
487,OTU_459,OTU_674,OTU_411,OTU_235
488,OTU_645,OTU_90,OTU_1050,OTU_305
489,OTU_221,OTU_301,OTU_503,OTU_448
490,OTU_962,OTU_854,OTU_125,OTU_51
491,OTU_700,OTU_374,OTU_283,OTU_149
492,OTU_684,OTU_655,OTU_251,OTU_943
493,OTU_153,OTU_1132,OTU_1023,OTU_520
494,OTU_640,OTU_314,OTU_492,OTU_427
495,OTU_472,OTU_501,OTU_629,OTU_274
496,OTU_555,OTU_675,OTU_600,OTU_1064
497,OTU_286,OTU_1204,OTU_649,OTU_890
498,OTU_381,OTU_327,OTU_269,OTU_218
499,OTU_699,OTU_420,OTU_823,OTU_278
500,OTU_392,OTU_669,OTU_391,OTU_318
501,OTU_415,OTU_1152,OTU_819,OTU_1029
502,OTU_190,OTU_1129,OTU_658,OTU_1054
503,OTU_796,OTU_978,OTU_483,OTU_368
504,OTU_335,OTU_598,OTU_235,OTU_90
505,OTU_1167,OTU_668,OTU_305,OTU_301
506,OTU_950,OTU_533,OTU_51,OTU_663
507,OTU_938,OTU_630,OTU_149,OTU_374
508,OTU_764,OTU_591,OTU_943,OTU_314
509,OTU_1192,OTU_965,OTU_520,OTU_501
510,OTU_766,OTU_603,OTU_427,OTU_1204
511,OTU_1038,OTU_102,OTU_183,OTU_327
512,OTU_909,OTU_406,OTU_202,OTU_420
513,OTU_1097,OTU_889,OTU_274,OTU_669
514,OTU_733,OTU_258,OTU_433,OTU_1152
515,OTU_841,OTU_422,OTU_1064,OTU_1129
516,OTU_396,OTU_138,OTU_273,OTU_978
517,OTU_627,OTU_884,OTU_890,OTU_598
518,OTU_328,OTU_307,OTU_218,OTU_668
519,OTU_905,OTU_1116,OTU_278,OTU_533
520,OTU_964,OTU_131,OTU_617,OTU_630
521,OTU_951,OTU_945,OTU_318,OTU_591
522,OTU_282,OTU_220,OTU_498,OTU_1181
523,OTU_686,OTU_421,OTU_1029,OTU_965
524,OTU_208,OTU_151,OTU_921,OTU_102
525,OTU_1068,OTU_685,OTU_1054,OTU_406
526,OTU_414,OTU_459,OTU_368,OTU_889
527,OTU_741,OTU_645,OTU_674,OTU_422
528,OTU_361,OTU_221,OTU_90,OTU_138
