Samples,Category,Bifidobacterium longum,Actinomyces odontolyticus,Leptotrichia hofstadii,Leptotrichia genomosp,Leptotrichia sp.,Leptotrichia hongkongensis,Fusobacterium periodonticum,Alistipes shahii,Prevotella sp.,Muribaculum intestinale,Prevotella conceptionensis,Alistipes onderdonkii,Alistipes obesi,Butyricimonas paravirosa,Prevotellamassilia timonensis,Bacteroides eggerthii,Alistipes sp.,Barnesiella intestinihominis,Lactobacillus mucosae,Okadaella gastrococcus,Howardella ureilytica,Lactobacillus salivarius,Parasporobacterium paucivorans,Acetanaerobacterium sp.,Dialister sp.,Coprococcus sp.,Solobacterium moorei,Intestinimonas massiliensis,Selenomonas sp.,Anaerofilum sp.,Peptostreptococcaceae bacterium,Paludicola psychrotolerans,Lachnoanaerobaculum saburreum,Anaerotruncus colihominis,Oscillibacter sp.,Peptostreptococcus stomatis,Gemella haemolysans,Ruminococcaceae bacterium,Clostridiales bacterium,Pseudoflavonifractor capillosus,Ruminococcus callidus,Streptococcus anginosus,Anaerostipes hadrus,Kineothrix alysoides,Campylobacter concisus,Desulfovibrio sp,Campylobacter showae,Eikenella corrodens,Succinivibrio dextrinosolvens
ZR4_67,LC,0.004633333,0,0,0,0,0,0,0.006966667,0,0,0,0.0004,0.001866667,0,0,3.33E-05,0,0.009366667,0.003733333,3.33E-05,0,0,0,0,3.33E-05,0.002466667,0,0.003533334,0,0,0.000233333,3.33E-05,0,0,0,0,0,0.004166667,0.000233333,0,0.000533333,0.000133333,0,1.00E-04,0,0,0,0,0
ZR4_68,HBVI,0,0,0,0,0,0,0,0.0026,0,0,0,0.0057,0.000866667,0.0002,0.0001,0,0.001566667,0.0062,3.33E-05,0,0,0.0001,0.003333333,0.000266667,0.014666667,0.012966667,0,0.0035,0,0.000133333,0.000466667,0.000733333,0,3.33E-05,0,0,0,0.011066667,0.002333333,6.67E-05,0,0,0.0001,1.20E-03,0,0,0,0,0
ZR4_69,LC,0.003333333,0.000133333,3.33E-05,0,0,0,0.000833333,3.33E-05,0,0,0,6.67E-05,0,0,0,6.67E-05,3.33E-05,0.000233333,3.33E-05,0.000266667,0,0.005633333,0,0,0.0001,0.0001,0,0.0000333,0.0000667,0,0,0,0,0,0,0,0,0.000333333,0,0.000133333,0,0.000566667,0,3.33E-05,0.0002,0,0,0,0
ZR4_76,HBVI,0.002666667,0.000366667,0,0,0,0,0.000166667,0,0,0,0,0,0,0,0,0,0,0,0,0.000133333,0,0,0,0,3.33E-05,0,3.33E-05,0,0.0000333,0,0,0,0,0,0,0,6.67E-05,3.33E-05,0,0,0,3.33E-05,0,3.33E-05,3.33E-05,0,0,0,0
ZR4_77,LC,0,0.0001,0,0,0,0,0,0,0,0,0,6.67E-05,0,0,0,0,0,0,0,0,0,3.33E-05,0,0,3.33E-05,0,0,0,0,0,0,0,0,0,0,0,0,3.33E-05,0,0,3.33E-05,0,0,1.70E-03,0,0,0,0,0
ZR4_79,CHB,0.000366667,0.000333333,0,0,0,0,0,0.001433333,0,0,0,0.000433333,0.0004,0.000366667,0,0,0,3.33E-05,0.000133333,0,0,0.000633333,0.000833333,3.33E-05,3.33E-05,0.008833333,0,0.001266667,0,0,0.0000333,3.33E-05,0,3.33E-05,0,0,0,0.0021,0.0007,0,0.002533333,3.33E-05,0,4.00E-04,0,0,0,0,0
ZR4_81,HBVI,0.005133333,0,0,0,0,0,0,0.001733333,0,0,0,0.0021,0.002,0.0008,0,0,0.001166667,0,0,3.33E-05,0,0,0.0002,0,0.0073,3.33E-05,0,0.002733333,0,3.33E-05,4.67E-04,0.000133333,0,0.000166667,0,0,0,0.036666667,0,0.0009,0,0,0,3.33E-05,0,0,0,0,0
ZR4_82,HBVI,0.001566667,0.000366667,0,0,0,0,0,0.005433333,0,0,0,0.0011,0.001833333,0.000166667,0.043266667,0.0011,0.004466667,0.000233333,0,0.000166667,0,3.33E-05,0,0.0001,0,0.008866667,3.33E-05,0.001466667,0,0.0002,0.0003,0,3.33E-05,0.000366667,0,0,0,0.012333333,0.002133333,0.0002,0.000533333,0.000833333,0,9.67E-04,0,0,0,0,0
ZR4_84,HBVI,6.67E-05,0.0002,0,0,0,0,0,0.000933333,0,0,0,0.001866667,0,0.000666667,0.0000667,0,0.000233333,0.0051,0,0,0,0,0.002266667,0,3.33E-05,0.001266667,0,0.000233333,0,0,0.000433333,0,0,0,0,3.33E-05,0,0.0048,0,0.000133333,0.001466667,3.33E-05,0,5.00E-03,0,0,0,0,0
ZR4_89,HBVI,0.000633333,0,0,0,0,0,0,0.0001,0,0,0,0.002533333,0.000566667,0,0,0,0.000466667,0,0,0,0,3.33E-05,0.000866667,3.33E-05,3.33E-05,0.021166667,0,0.003666667,0,0,0.0002,0,0,0,0.0002,0,0,0.006566667,0,6.67E-05,0.000866667,0,0,1.07E-03,0,0,0,0,0
ZR6_20,HBVI,0.000833333,0,0,0,0,0,0,0.006866667,0,0,0,0.015333333,0,0.002166667,0,0,0.0074,0.0011,0,6.67E-05,0,0,0,0,0.000166667,0,0,0.0013,0,6.67E-05,0.00E+00,3.33E-05,0,3.33E-05,0.000266667,0,6.67E-05,0.0248,6.67E-05,0.000266667,0,0.000133333,0,1.67E-04,0,0,0,0,0
ZR7_1,LC,0,0,0,0,0,3.33E-05,0.001633333,0.000133333,0,0,0,0.008033333,0,0,0,0,0,0,0.000133333,0.0005,0,0,0,0,0,0,0,0,0.000166667,0,0,0,0,0,0,3.33E-05,3.33E-05,0,0,0,0,0.000233333,0,0.00E+00,0,0,0,0.0001,0
ZR7_11,LC,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33E-04,0,0,0,0,0
ZR7_12,LC,0,0.0005,0.0001,0,0.003133333,0.004066667,0.0003,0,0,0,0,0,0,0,0,0,0,0,3.33E-05,0.001366667,0,0.002866667,0,0,0,0,0,0,0.001266667,0,0,0,0.000366667,0,0,0,0.002933333,0,0,0,0,0.000166667,0,0.00E+00,0.027666667,0,0.003266667,0.003266667,0
ZR7_13,LC,0,0.004233333,0,0,0,0,0.0212,0,0,0,0,0,0,0,0,0,0,0,0,0.000566667,6.67E-05,0,0,0,0,0,0.000266667,0,0.000466667,0,0,0,0.000966667,0,0,0.001133333,0.001066667,0,0,0,0,0.000433333,0,0.00E+00,0.000566667,0,0,0.002166667,0
ZR7_15,HBVI,0.000333333,0,0,0,0,0,0,0.000433333,0,0,0,0.0078,0,0.015933333,0,0,0.001,3.33E-05,0,3.33E-05,0,0,0,0,0,0,0,0.000266666,0,0,0,0,0,3.33E-05,0.000666667,0,0,0.025166667,0,0,0,0,0,2.00E-04,0,0,0,0,0
ZR7_16,LC,0.000466667,0,0,0,0,0,0.000633333,3.33E-05,0,0,0,0.001466667,3.33E-05,0.0001,0,0,0,0,0,0.0001,6.67E-05,0,0,0,3.33E-05,0,0,0,0.0000333,0,0,0,0,0,0,0,3.33E-05,0.000166667,0,0,0,0,0,0.00E+00,0,0,0,0,0
ZR7_17,HBVI,0.000266667,0,0,0,0,0,3.33E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0
ZR7_18,CHB,0,0,0,0,0,0,3.33E-05,0.002433333,0,0,0,0.020866667,0.000133333,0,0,0,0.000133333,0.005366667,0,0,0,0,0.000833333,0,0,0,0,0.000899967,0,0,0.000133333,0,0,0,6.67E-05,0,0,0.006933333,0,0.0002,0,0,0,8.67E-04,0,0,0,0,0
